#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   1.17790    -12.812947  0.643  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.653
   1.15856    -12.814331  0.643  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.653
   1.13921    -12.814795  0.643  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.653
   1.13921    -12.814795  0.643  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.653
   1.10571    -12.816515  0.643  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.654
   1.07220    -12.828444  0.642  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.654
   1.03869    -12.850395  0.640  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.652
   1.00519    -12.881914  0.637  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.649
   0.97168    -12.922352  0.634  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.646
   0.93818    -12.970979  0.630  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.643
   0.90467    -13.026973  0.625  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.640
   0.87116    -13.089434  0.621  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.636
   0.83766    -13.157435  0.618  0.000  0.012  0.001  0.000  0.000  0.000  0.000  0.000  0.631
   0.80415    -13.230024  0.613  0.000  0.012  0.003  0.000  0.000  0.000  0.000  0.000  0.628
   0.77064    -13.306283  0.609  0.000  0.012  0.003  0.000  0.000  0.000  0.000  0.000  0.623
   0.73714    -13.385299  0.604  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.618
   0.70363    -13.466230  0.599  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.616
   0.67013    -13.548246  0.595  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.610
   0.63662    -13.630570  0.592  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.606
   0.60311    -13.712487  0.587  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.602
   0.56961    -13.793336  0.584  0.000  0.012  0.005  0.000  0.000  0.000  0.000  0.000  0.597
   0.53610    -13.872504  0.578  0.000  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.595
   0.50259    -13.949425  0.578  0.000  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.592
   0.46909    -14.023604  0.572  0.000  0.010  0.001  0.000  0.000  0.000  0.000  0.000  0.587
   0.43558    -14.094557  0.570  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.583
   0.40208    -14.161862  0.569  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.581
   0.36857    -14.225123  0.565  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.578
