     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz      dx2-y2       tot  
    -3.44896    -0.56485    -0.16311    -0.17462    -0.16311    -0.44323    -0.65835    -0.42811    -0.65835    -0.44323    -3.69696
    -3.37896    -0.56714    -0.16524    -0.19395    -0.16524    -0.45851    -0.68150    -0.43055    -0.68150    -0.45851    -3.80215
    -3.30896    -0.56896    -0.16714    -0.20399    -0.16714    -0.47204    -0.69941    -0.43312    -0.69941    -0.47204    -3.88325
    -3.23896    -0.57056    -0.16902    -0.20430    -0.16902    -0.48388    -0.71896    -0.43617    -0.71896    -0.48388    -3.95477
    -3.16896    -0.57200    -0.17077    -0.20463    -0.17077    -0.49862    -0.73700    -0.43930    -0.73700    -0.49862    -4.02869
    -3.09896    -0.57311    -0.17238    -0.20489    -0.17238    -0.52084    -0.75229    -0.44212    -0.75229    -0.52084    -4.11114
    -3.02896    -0.57420    -0.17473    -0.20525    -0.17473    -0.58484    -0.76657    -0.44532    -0.76657    -0.58484    -4.27707
    -2.95896    -0.57513    -0.17731    -0.20593    -0.17731    -0.65274    -0.78285    -0.44936    -0.78285    -0.65274    -4.45623
    -2.88896    -0.57577    -0.17910    -0.20656    -0.17910    -0.68382    -0.79557    -0.45261    -0.79557    -0.68382    -4.55194
    -2.81796    -0.57666    -0.18134    -0.20740    -0.18134    -0.70628    -0.80939    -0.45685    -0.80939    -0.70628    -4.63493
    -2.74796    -0.57736    -0.18324    -0.20865    -0.18324    -0.72561    -0.82221    -0.46070    -0.82221    -0.72561    -4.70885
    -2.67796    -0.57799    -0.18528    -0.21038    -0.18528    -0.74561    -0.83524    -0.46524    -0.83524    -0.74561    -4.78586
    -2.60796    -0.57902    -0.18805    -0.21365    -0.18805    -0.76363    -0.86057    -0.47173    -0.86057    -0.76363    -4.88891
    -2.53796    -0.57982    -0.19038    -0.21842    -0.19038    -0.77995    -0.90117    -0.47670    -0.90117    -0.77995    -5.01795
    -2.46796    -0.58060    -0.19310    -0.22487    -0.19310    -0.79637    -0.94295    -0.48136    -0.94295    -0.79637    -5.15165
    -2.39796    -0.58159    -0.19684    -0.23051    -0.19684    -0.81400    -0.97478    -0.48736    -0.97478    -0.81400    -5.27072
    -2.32796    -0.58214    -0.19921    -0.23439    -0.19921    -0.82580    -1.00285    -0.49062    -1.00285    -0.82580    -5.36288
    -2.25796    -0.58254    -0.20049    -0.24308    -0.20049    -0.83128    -1.04118    -0.49228    -1.04118    -0.83128    -5.46379
    -2.18796    -0.58310    -0.20225    -0.25155    -0.20225    -0.83659    -1.07672    -0.49465    -1.07672    -0.83659    -5.56042
    -2.11796    -0.58341    -0.20356    -0.25511    -0.20356    -0.84173    -1.09927    -0.49607    -1.09927    -0.84173    -5.62369
    -2.04796    -0.58364    -0.20481    -0.25838    -0.20481    -0.84689    -1.12546    -0.49730    -1.12546    -0.84689    -5.69361
    -1.97796    -0.58402    -0.20661    -0.26213    -0.20661    -0.85192    -1.16633    -0.49927    -1.16633    -0.85192    -5.79512
    -1.90796    -0.58439    -0.20859    -0.26625    -0.20859    -0.85668    -1.21893    -0.50160    -1.21893    -0.85668    -5.92063
    -1.83796    -0.58466    -0.21039    -0.27169    -0.21039    -0.86114    -1.25283    -0.50419    -1.25283    -0.86114    -6.00928
    -1.76796    -0.58483    -0.21209    -0.27967    -0.21209    -0.86571    -1.26704    -0.50748    -1.26704    -0.86571    -6.06167
    -1.69796    -0.58501    -0.21420    -0.28848    -0.21420    -0.87070    -1.27829    -0.51140    -1.27829    -0.87070    -6.11127
    -1.62796    -0.58520    -0.21677    -0.29599    -0.21677    -0.87526    -1.28476    -0.51494    -1.28476    -0.87526    -6.14970
    -1.55796    -0.58537    -0.22016    -0.30442    -0.22016    -0.88011    -1.28842    -0.51873    -1.28842    -0.88011    -6.18590
    -1.48796    -0.58547    -0.22448    -0.31012    -0.22448    -0.88573    -1.29047    -0.52139    -1.29047    -0.88573    -6.21834
    -1.41796    -0.58605    -0.22881    -0.31124    -0.22881    -0.89373    -1.29109    -0.53076    -1.29109    -0.89373    -6.25531
    -1.34796    -0.58753    -0.23192    -0.31281    -0.23192    -0.90480    -1.29168    -0.55488    -1.29168    -0.90480    -6.31201
    -1.27796    -0.58939    -0.23406    -0.31568    -0.23406    -0.91651    -1.29236    -0.58663    -1.29236    -0.91651    -6.37757
    -1.20796    -0.59098    -0.23640    -0.31888    -0.23640    -0.93857    -1.29315    -0.63161    -1.29315    -0.93857    -6.47772
