#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   1.27463    -12.792622  0.019  0.012  0.000  0.036  0.035  0.000  0.000  0.000  0.012  0.117
   1.25528    -12.798409  0.019  0.012  0.000  0.036  0.035  0.000  0.000  0.000  0.012  0.117
   1.23594    -12.803360  0.019  0.012  0.000  0.036  0.035  0.000  0.000  0.000  0.012  0.117
   1.21659    -12.807447  0.019  0.012  0.000  0.036  0.035  0.000  0.000  0.000  0.012  0.117
   1.19725    -12.810648  0.020  0.012  0.000  0.036  0.035  0.000  0.000  0.000  0.012  0.117
   1.17790    -12.812947  0.020  0.012  0.000  0.036  0.035  0.000  0.000  0.000  0.012  0.117
   1.15856    -12.814331  0.020  0.012  0.000  0.036  0.035  0.000  0.000  0.000  0.012  0.117
   1.13921    -12.814795  0.020  0.012  0.000  0.036  0.035  0.000  0.000  0.000  0.012  0.117
   1.13921    -12.814795  0.020  0.012  0.000  0.036  0.035  0.000  0.000  0.000  0.012  0.117
   1.10571    -12.816515  0.021  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.117
   1.07220    -12.828444  0.021  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.117
   1.03869    -12.850395  0.024  0.012  0.000  0.036  0.033  0.000  0.000  0.000  0.012  0.117
   1.00519    -12.881914  0.024  0.012  0.000  0.033  0.033  0.000  0.000  0.000  0.012  0.117
   0.97168    -12.922352  0.029  0.012  0.000  0.033  0.030  0.000  0.000  0.000  0.009  0.117
   0.93818    -12.970979  0.033  0.012  0.000  0.033  0.030  0.000  0.000  0.000  0.009  0.117
   0.90467    -13.026973  0.036  0.011  0.000  0.032  0.027  0.000  0.000  0.000  0.009  0.117
   0.87116    -13.089434  0.041  0.009  0.000  0.030  0.027  0.000  0.000  0.000  0.009  0.118
   0.83766    -13.157435  0.045  0.009  0.000  0.030  0.024  0.000  0.000  0.000  0.009  0.119
   0.80415    -13.230024  0.051  0.009  0.000  0.027  0.021  0.000  0.000  0.000  0.006  0.119
   0.77064    -13.306283  0.056  0.009  0.000  0.027  0.021  0.000  0.000  0.000  0.006  0.119
   0.73714    -13.385299  0.061  0.009  0.000  0.024  0.018  0.000  0.000  0.000  0.006  0.120
   0.70363    -13.466230  0.065  0.009  0.000  0.024  0.016  0.000  0.000  0.000  0.006  0.120
   0.67013    -13.548246  0.071  0.006  0.000  0.021  0.015  0.000  0.000  0.000  0.006  0.121
   0.63662    -13.630570  0.076  0.006  0.000  0.020  0.012  0.000  0.000  0.000  0.003  0.122
   0.60311    -13.712487  0.082  0.006  0.000  0.018  0.012  0.000  0.000  0.000  0.003  0.122
   0.56961    -13.793336  0.086  0.006  0.000  0.017  0.009  0.000  0.000  0.000  0.003  0.123
   0.53610    -13.872504  0.091  0.006  0.000  0.015  0.009  0.000  0.000  0.000  0.003  0.124
   0.50259    -13.949425  0.096  0.005  0.000  0.014  0.008  0.000  0.000  0.000  0.003  0.125
   0.46909    -14.023604  0.101  0.003  0.000  0.011  0.006  0.000  0.000  0.000  0.003  0.125
   0.43558    -14.094557  0.104  0.003  0.000  0.011  0.005  0.000  0.000  0.000  0.002  0.126
   0.40208    -14.161862  0.108  0.003  0.000  0.009  0.005  0.000  0.000  0.000  0.002  0.127
   0.36857    -14.225123  0.111  0.003  0.000  0.008  0.003  0.000  0.000  0.000  0.000  0.128
   0.33506    -14.283994  0.114  0.002  0.000  0.006  0.003  0.000  0.000  0.000  0.000  0.128
   0.30156    -14.338163  0.118  0.002  0.000  0.005  0.002  0.000  0.000  0.000  0.000  0.129
   0.26805    -14.387353  0.121  0.002  0.000  0.004  0.002  0.000  0.000  0.000  0.000  0.130
   0.23454    -14.431325  0.124  0.001  0.000  0.003  0.002  0.000  0.000  0.000  0.000  0.130
   0.20104    -14.469867  0.126  0.000  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.130
   0.16753    -14.502786  0.127  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.131
   0.13403    -14.529926  0.129  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.131
   0.10052    -14.551163  0.131  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.132
   0.06701    -14.566401  0.130  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.133
   0.03351    -14.575573  0.131  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.133
   0.00000    -14.578634  0.131  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.133
 
# Band-Index:    3
   0.00000    -14.578460  0.131  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.132
   0.03351    -14.575398  0.131  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.132
   0.06701    -14.566227  0.131  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.131
   0.10052    -14.550988  0.130  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.131
   0.13403    -14.529750  0.129  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.131
   0.16753    -14.502606  0.128  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.131
   0.20104    -14.469676  0.126  0.001  0.000  0.003  0.001  0.000  0.000  0.000  0.000  0.131
   0.23454    -14.431111  0.124  0.001  0.000  0.003  0.001  0.000  0.000  0.000  0.000  0.131
   0.26805    -14.387096  0.121  0.001  0.000  0.004  0.001  0.000  0.000  0.000  0.000  0.130
   0.30156    -14.337838  0.119  0.002  0.000  0.006  0.002  0.000  0.000  0.000  0.000  0.129
   0.33506    -14.283569  0.115  0.003  0.000  0.007  0.003  0.000  0.000  0.000  0.000  0.129
   0.36857    -14.224567  0.112  0.003  0.000  0.007  0.004  0.000  0.000  0.000  0.001  0.127
   0.40208    -14.161131  0.108  0.003  0.000  0.010  0.004  0.000  0.000  0.000  0.001  0.127
   0.43558    -14.093610  0.104  0.003  0.000  0.010  0.006  0.000  0.000  0.000  0.003  0.127
   0.46909    -14.022387  0.100  0.004  0.000  0.013  0.006  0.000  0.000  0.000  0.003  0.126
   0.50259    -13.947874  0.095  0.004  0.000  0.013  0.007  0.000  0.000  0.000  0.003  0.124
   0.53610    -13.870548  0.092  0.006  0.000  0.016  0.009  0.000  0.000  0.000  0.003  0.124
   0.56961    -13.790894  0.086  0.006  0.000  0.017  0.010  0.000  0.000  0.000  0.003  0.123
   0.60311    -13.709460  0.082  0.006  0.000  0.019  0.012  0.000  0.000  0.000  0.003  0.122
   0.63662    -13.626850  0.077  0.006  0.000  0.020  0.012  0.000  0.000  0.000  0.003  0.122
   0.67013    -13.543700  0.072  0.007  0.000  0.022  0.015  0.000  0.000  0.000  0.006  0.121
   0.70363    -13.460709  0.067  0.009  0.000  0.024  0.016  0.000  0.000  0.000  0.006  0.121
   0.73714    -13.378626  0.061  0.009  0.000  0.025  0.018  0.000  0.000  0.000  0.006  0.120
   0.77064    -13.298265  0.056  0.009  0.000  0.027  0.021  0.000  0.000  0.000  0.006  0.120
   0.80415    -13.220448  0.051  0.009  0.000  0.028  0.022  0.000  0.000  0.000  0.007  0.120
   0.83766    -13.146062  0.046  0.009  0.000  0.030  0.024  0.000  0.000  0.000  0.009  0.119
   0.87116    -13.076006  0.042  0.009  0.000  0.030  0.027  0.000  0.000  0.000  0.009  0.118
   0.90467    -13.011202  0.036  0.012  0.000  0.033  0.028  0.000  0.000  0.000  0.009  0.118
   0.93818    -12.952573  0.033  0.012  0.000  0.033  0.030  0.000  0.000  0.000  0.009  0.118
   0.97168    -12.901045  0.030  0.012  0.000  0.033  0.033  0.000  0.000  0.000  0.012  0.118
   1.00519    -12.857452  0.027  0.012  0.000  0.036  0.033  0.000  0.000  0.000  0.012  0.118
   1.03869    -12.822576  0.024  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.118
   1.07220    -12.797109  0.021  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.118
   1.10571    -12.781589  0.021  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.118
   1.13921    -12.776374  0.021  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.118
   1.13921    -12.776374  0.021  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.118
   1.15856    -12.775935  0.021  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.118
   1.17790    -12.774630  0.021  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.118
   1.19725    -12.772462  0.021  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.118
   1.21659    -12.769446  0.020  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.118
   1.23594    -12.765600  0.018  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.118
   1.25528    -12.760942  0.018  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.118
   1.27463    -12.755504  0.018  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.118
   1.29397    -12.749317  0.018  0.015  0.000  0.036  0.036  0.000  0.000  0.000  0.013  0.118
   1.31332    -12.742419  0.018  0.015  0.000  0.036  0.036  0.000  0.000  0.000  0.015  0.118
   1.33266    -12.734858  0.018  0.015  0.000  0.036  0.036  0.000  0.000  0.000  0.015  0.118
   1.35201    -12.726680  0.015  0.015  0.000  0.036  0.036  0.000  0.000  0.000  0.015  0.118
   1.37135    -12.717938  0.015  0.015  0.000  0.036  0.036  0.000  0.000  0.000  0.015  0.118
   1.39070    -12.708687  0.015  0.015  0.000  0.036  0.036  0.000  0.000  0.000  0.015  0.117
   1.41004    -12.698991  0.015  0.016  0.000  0.036  0.036  0.000  0.000  0.000  0.015  0.117
   1.42939    -12.688916  0.012  0.018  0.000  0.036  0.034  0.000  0.000  0.000  0.015  0.117
