#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   2.84156    -13.354489    -13.354489
   2.88025    -13.379959    -13.379959
   2.91894    -13.401789    -13.401790
   2.95763    -13.419836    -13.419836
   2.99632    -13.433991    -13.433991
   3.03501    -13.444164    -13.444164
   3.07370    -13.450292    -13.450292
   3.11239    -13.452339    -13.452340
 
# Band-Index:    6
   3.11239    -13.283862    -13.283862
   3.07370    -13.282033    -13.282034
   3.03501    -13.276556    -13.276557
   2.99632    -13.267467    -13.267468
   2.95763    -13.254823    -13.254823
   2.91894    -13.238709    -13.238709
   2.88025    -13.219233    -13.219234
   2.84156    -13.196528    -13.196529
   2.80287    -13.170745    -13.170745
   2.76418    -13.142065    -13.142066
   2.72549    -13.110690    -13.110691
   2.68680    -13.076844    -13.076844
   2.64811    -13.040769    -13.040770
   2.60942    -13.002752    -13.002753
   2.57073    -12.963082    -12.963083
   2.53204    -12.922073    -12.922073
   2.49335    -12.880069    -12.880070
   2.45466    -12.837429    -12.837429
   2.41597    -12.794528    -12.794528
   2.37728    -12.751789    -12.751790
   2.33859    -12.709618    -12.709618
   2.29990    -12.668433    -12.668433
   2.26121    -12.628662    -12.628663
   2.22252    -12.590760    -12.590760
   2.18383    -12.555143    -12.555143
   2.14514    -12.522229    -12.522230
   2.10645    -12.492412    -12.492413
   2.06776    -12.466052    -12.466052
   2.02908    -12.443441    -12.443441
   1.99039    -12.424814    -12.424815
   1.95170    -12.410320    -12.410320
   1.91301    -12.400036    -12.400036
   1.87432    -12.393934    -12.393935
   1.83563    -12.391898    -12.391899
   1.79694    -12.393547    -12.393548
   1.79694    -12.393547    -12.393548
   1.77759    -12.393179    -12.393180
   1.75825    -12.393643    -12.393644
   1.73890    -12.394973    -12.394974
   1.71956    -12.397121    -12.397122
   1.70021    -12.400033    -12.400034
   1.68087    -12.403654    -12.403655
   1.66152    -12.407926    -12.407927
   1.64218    -12.412789    -12.412790
   1.62283    -12.418179    -12.418180
   1.60349    -12.424025    -12.424026
   1.58414    -12.430269    -12.430269
   1.56480    -12.436835    -12.436836
   1.54545    -12.443655    -12.443656
   1.52611    -12.450666    -12.450666
   1.50676    -12.457799    -12.457800
   1.48742    -12.464991    -12.464992
   1.46807    -12.472173    -12.472174
   1.44873    -12.479293    -12.479294
   1.42939    -12.486290    -12.486290
   1.41004    -12.493105    -12.493106
   1.39070    -12.499688    -12.499689
   1.37135    -12.505991    -12.505991
   1.35201    -12.511963    -12.511964
   1.33266    -12.517562    -12.517563
   1.31332    -12.522754    -12.522754
   1.29397    -12.527497    -12.527497
   1.27463    -12.531756    -12.531757
   1.25528    -12.535507    -12.535507
   1.23594    -12.538722    -12.538723
   1.21659    -12.541381    -12.541382
   1.19725    -12.543468    -12.543468
   1.17790    -12.544968    -12.544969
   1.15856    -12.545873    -12.545873
   1.13921    -12.546176    -12.546177
   1.13921    -12.546176    -12.546177
   1.10571    -12.544496    -12.544497
   1.07220    -12.546975    -12.546975
   1.03869    -12.553624    -12.553625
   1.00519    -12.564304    -12.564305
   0.97168    -12.578823    -12.578824
   0.93818    -12.596941    -12.596941
   0.90467    -12.618356    -12.618356
   0.87116    -12.642754    -12.642754
   0.83766    -12.669781    -12.669782
   0.80415    -12.699077    -12.699078
   0.77064    -12.730267    -12.730267
   0.73714    -12.762970    -12.762970
   0.70363    -12.796821    -12.796822
   0.67013    -12.831452    -12.831453
   0.63662    -12.866518    -12.866518
   0.60311    -12.901670    -12.901671
   0.56961    -12.936588    -12.936588
   0.53610    -12.970976    -12.970977
   0.50259    -13.004566    -13.004566
   0.46909    -13.037099    -13.037099
   0.43558    -13.068339    -13.068340
   0.40208    -13.098072    -13.098072
   0.36857    -13.126101    -13.126101
   0.33506    -13.152253    -13.152253
   0.30156    -13.176363    -13.176364
   0.26805    -13.198299    -13.198300
   0.23454    -13.217929    -13.217930
   0.20104    -13.235154    -13.235155
   0.16753    -13.249882    -13.249882
   0.13403    -13.262037    -13.262037
   0.10052    -13.271552    -13.271553
   0.06701    -13.278381    -13.278381
   0.03351    -13.282491    -13.282491
   0.00000    -13.283862    -13.283862
 
# Band-Index:    7
   0.00000     -6.417913     -6.417913
   0.03351     -6.414204     -6.414204
   0.06701     -6.403117     -6.403117
   0.10052     -6.384766     -6.384766
   0.13403     -6.359347     -6.359347
   0.16753     -6.327148     -6.327149
   0.20104     -6.288566     -6.288566
   0.23454     -6.244093     -6.244093
   0.26805     -6.194366     -6.194366
   0.30156     -6.140155     -6.140155
   0.33506     -6.082473     -6.082474
   0.36857     -6.022518     -6.022518
   0.40208     -5.961782     -5.961783
   0.43558     -5.902087     -5.902087
   0.46909     -5.845649     -5.845649
   0.50259     -5.795064     -5.795065
   0.53610     -5.753276     -5.753277
   0.56961     -5.723345     -5.723345
   0.60311     -5.707968     -5.707968
   0.63662     -5.708884     -5.708885
   0.67013     -5.726301     -5.726301
   0.70363     -5.758691     -5.758691
   0.73714     -5.803287     -5.803287
   0.77064     -5.856712     -5.856713
   0.80415     -5.915568     -5.915569
   0.83766     -5.976811     -5.976811
   0.87116     -6.037775     -6.037775
   0.90467     -6.096242     -6.096242
   0.93818     -6.150304     -6.150304
   0.97168     -6.198354     -6.198354
   1.00519     -6.238999     -6.238999
   1.03869     -6.271078     -6.271078
   1.07220     -6.293667     -6.293667
   1.10571     -6.306054     -6.306054
   1.13921     -6.307862     -6.307862
   1.13921     -6.307862     -6.307862
   1.15856     -6.306459     -6.306459
   1.17790     -6.302265     -6.302265
